Standard_Work,Book,Chapter,Verse_Count
Old Testament,Job,28,28
Old Testament,Job,29,25
Old Testament,Job,30,31
Old Testament,Job,31,40
Old Testament,Job,32,22
Old Testament,Job,33,33
Old Testament,Job,34,37
Old Testament,Job,35,16
Old Testament,Job,36,33
Old Testament,Job,37,24
Old Testament,Job,38,41
Old Testament,Job,39,30
Old Testament,Job,40,24
Old Testament,Job,41,34
Old Testament,Job,42,17
Old Testament,Psalms,1,6
Old Testament,Psalms,2,12
Old Testament,Psalms,3,8
Old Testament,Psalms,4,8
Old Testament,Psalms,5,12
Old Testament,Psalms,6,10
Old Testament,Psalms,7,17
Old Testament,Psalms,8,9
Old Testament,Psalms,9,20
Old Testament,Psalms,10,18
Old Testament,Psalms,11,7
Old Testament,Psalms,12,8
Old Testament,Psalms,13,6
Old Testament,Psalms,14,7
Old Testament,Psalms,15,5
Old Testament,Psalms,16,11
Old Testament,Psalms,17,15
Old Testament,Psalms,18,50
Old Testament,Psalms,19,14
Old Testament,Psalms,20,9
Old Testament,Psalms,21,13
Old Testament,Psalms,22,31
Old Testament,Psalms,23,6
Old Testament,Psalms,24,10
Old Testament,Psalms,25,22
Old Testament,Psalms,26,12
Old Testament,Psalms,27,14
Old Testament,Psalms,28,9
Old Testament,Psalms,29,11
Old Testament,Psalms,30,12
Old Testament,Psalms,31,24
Old Testament,Psalms,32,11
Old Testament,Psalms,33,22
Old Testament,Psalms,34,22
Old Testament,Psalms,35,28
Old Testament,Psalms,36,12
Old Testament,Psalms,37,40
Old Testament,Psalms,38,22
Old Testament,Psalms,39,13
Old Testament,Psalms,40,17
Old Testament,Psalms,41,13
Old Testament,Psalms,42,11
Old Testament,Psalms,43,5
Old Testament,Psalms,44,26
Old Testament,Psalms,45,17
Old Testament,Psalms,46,11
Old Testament,Psalms,47,9
Old Testament,Psalms,48,14
Old Testament,Psalms,49,20
Old Testament,Psalms,50,23
Old Testament,Psalms,51,19
Old Testament,Psalms,52,9
Old Testament,Psalms,53,6
Old Testament,Psalms,54,7
Old Testament,Psalms,55,23
Old Testament,Psalms,56,13
Old Testament,Psalms,57,11
Old Testament,Psalms,58,11
Old Testament,Psalms,59,17
Old Testament,Psalms,60,12
Old Testament,Psalms,61,8
Old Testament,Psalms,62,12
Old Testament,Psalms,63,11
Old Testament,Psalms,64,10
Old Testament,Psalms,65,13
Old Testament,Psalms,66,20
Old Testament,Psalms,67,7
Old Testament,Psalms,68,35
Old Testament,Psalms,69,36
Old Testament,Psalms,70,5
Old Testament,Psalms,71,24
Old Testament,Psalms,72,20
Old Testament,Psalms,73,28
Old Testament,Psalms,74,23
Old Testament,Psalms,75,10
Old Testament,Psalms,76,12
Old Testament,Psalms,77,20
Old Testament,Psalms,78,72
Old Testament,Psalms,79,13
Old Testament,Psalms,80,19
Old Testament,Psalms,81,16
Old Testament,Psalms,82,8
Old Testament,Psalms,83,18
Old Testament,Psalms,84,12
Old Testament,Psalms,85,13
Old Testament,Psalms,86,17
Old Testament,Psalms,87,7
Old Testament,Psalms,88,18
Old Testament,Psalms,89,52
Old Testament,Psalms,90,17
Old Testament,Psalms,91,16
Old Testament,Psalms,92,15
Old Testament,Psalms,93,5
Old Testament,Psalms,94,23
Old Testament,Psalms,95,11
Old Testament,Psalms,96,13
Old Testament,Psalms,97,12
Old Testament,Psalms,98,9
Old Testament,Psalms,99,9
Old Testament,Psalms,100,5
Old Testament,Psalms,101,8
Old Testament,Psalms,102,28
Old Testament,Psalms,103,22
Old Testament,Psalms,104,35
Old Testament,Psalms,105,45
Old Testament,Psalms,106,48
Old Testament,Psalms,107,43
Old Testament,Psalms,108,13
Old Testament,Psalms,109,31
Old Testament,Psalms,110,7
Old Testament,Psalms,111,10
Old Testament,Psalms,112,10
Old Testament,Psalms,113,9
Old Testament,Psalms,114,8
Old Testament,Psalms,115,18
Old Testament,Psalms,116,19
Old Testament,Psalms,117,2
Old Testament,Psalms,118,29
Old Testament,Psalms,119,176
Old Testament,Psalms,120,7
Old Testament,Psalms,121,8
Old Testament,Psalms,122,9
Old Testament,Psalms,123,4
Old Testament,Psalms,124,8
Old Testament,Psalms,125,5
Old Testament,Psalms,126,6
Old Testament,Psalms,127,5
Old Testament,Psalms,128,6
Old Testament,Psalms,129,8
Old Testament,Psalms,130,8
Old Testament,Psalms,131,3
Old Testament,Psalms,132,18
Old Testament,Psalms,133,3
Old Testament,Psalms,134,3
Old Testament,Psalms,135,21
Old Testament,Psalms,136,26
Old Testament,Psalms,137,9
Old Testament,Psalms,138,8
Old Testament,Psalms,139,24
Old Testament,Psalms,140,13
Old Testament,Psalms,141,10
Old Testament,Psalms,142,7
Old Testament,Psalms,143,12
Old Testament,Psalms,144,15
Old Testament,Psalms,145,21
Old Testament,Psalms,146,10
Old Testament,Psalms,147,20
Old Testament,Psalms,148,14
Old Testament,Psalms,149,9
Old Testament,Psalms,150,6
Old Testament,Proverbs,1,33
Old Testament,Proverbs,2,22
Old Testament,Proverbs,3,35
Old Testament,Proverbs,4,27
Old Testament,Proverbs,5,23
Old Testament,Proverbs,6,35
Old Testament,Proverbs,7,27
Old Testament,Proverbs,8,36
Old Testament,Proverbs,9,18
Old Testament,Proverbs,10,32
Old Testament,Proverbs,11,31
Old Testament,Proverbs,12,28
Old Testament,Proverbs,13,25
Old Testament,Proverbs,14,35
Old Testament,Proverbs,15,33
Old Testament,Proverbs,16,33
Old Testament,Proverbs,17,28
Old Testament,Proverbs,18,24
Old Testament,Proverbs,19,29
Old Testament,Proverbs,20,30
Old Testament,Proverbs,21,31
Old Testament,Proverbs,22,29
Old Testament,Proverbs,23,35
Old Testament,Proverbs,24,34
Old Testament,Proverbs,25,28
Old Testament,Proverbs,26,28
Old Testament,Proverbs,27,27
Old Testament,Proverbs,28,28
Old Testament,Proverbs,29,27
Old Testament,Proverbs,30,33
Old Testament,Proverbs,31,31
Old Testament,Ecclesiastes,1,18
Old Testament,Ecclesiastes,2,26
Old Testament,Ecclesiastes,3,22
Old Testament,Ecclesiastes,4,16
Old Testament,Ecclesiastes,5,20
Old Testament,Ecclesiastes,6,12
Old Testament,Ecclesiastes,7,29
Old Testament,Ecclesiastes,8,17
Old Testament,Ecclesiastes,9,18
Old Testament,Ecclesiastes,10,20
Old Testament,Ecclesiastes,11,10
Old Testament,Ecclesiastes,12,14
Old Testament,Song of Solomon,1,17
Old Testament,Song of Solomon,2,17
Old Testament,Song of Solomon,3,11
Old Testament,Song of Solomon,4,16
Old Testament,Song of Solomon,5,16
Old Testament,Song of Solomon,6,13
Old Testament,Song of Solomon,7,13
Old Testament,Song of Solomon,8,14
Old Testament,Isaiah,1,31
Old Testament,Isaiah,2,22
Old Testament,Isaiah,3,26
Old Testament,Isaiah,4,6
Old Testament,Isaiah,5,30
Old Testament,Isaiah,6,13
Old Testament,Isaiah,7,25
Old Testament,Isaiah,8,22
Old Testament,Isaiah,9,21
Old Testament,Isaiah,10,34
Old Testament,Isaiah,11,16
Old Testament,Isaiah,12,6
Old Testament,Isaiah,13,22
Old Testament,Isaiah,14,32
Old Testament,Isaiah,15,9
Old Testament,Isaiah,16,14
Old Testament,Isaiah,17,14
Old Testament,Isaiah,18,7
Old Testament,Isaiah,19,25
Old Testament,Isaiah,20,6
Old Testament,Isaiah,21,17
Old Testament,Isaiah,22,25
Old Testament,Isaiah,23,18
Old Testament,Isaiah,24,23
Old Testament,Isaiah,25,12
Old Testament,Isaiah,26,21
Old Testament,Isaiah,27,13
Old Testament,Isaiah,28,29
Old Testament,Isaiah,29,24
Old Testament,Isaiah,30,33
Old Testament,Isaiah,31,9
Old Testament,Isaiah,32,20
Old Testament,Isaiah,33,24
Old Testament,Isaiah,34,17
Old Testament,Isaiah,35,10
Old Testament,Isaiah,36,22
Old Testament,Isaiah,37,38
Old Testament,Isaiah,38,22
Old Testament,Isaiah,39,8
Old Testament,Isaiah,40,31
Old Testament,Isaiah,41,29
Old Testament,Isaiah,42,25
Old Testament,Isaiah,43,28
Old Testament,Isaiah,44,28
Old Testament,Isaiah,45,25
Old Testament,Isaiah,46,13
Old Testament,Isaiah,47,15
Old Testament,Isaiah,48,22
Old Testament,Isaiah,49,26
Old Testament,Isaiah,50,11
Old Testament,Isaiah,51,23
Old Testament,Isaiah,52,15
Old Testament,Isaiah,53,12
Old Testament,Isaiah,54,17
Old Testament,Isaiah,55,13
Old Testament,Isaiah,56,12
Old Testament,Isaiah,57,21
Old Testament,Isaiah,58,14
Old Testament,Isaiah,59,21
Old Testament,Isaiah,60,22
Old Testament,Isaiah,61,11
Old Testament,Isaiah,62,12
Old Testament,Isaiah,63,19
Old Testament,Isaiah,64,12
Old Testament,Isaiah,65,25
Old Testament,Isaiah,66,24
Old Testament,Jeremiah,1,19
Old Testament,Jeremiah,2,37
Old Testament,Jeremiah,3,25
Old Testament,Jeremiah,4,31
Old Testament,Jeremiah,5,31
Old Testament,Jeremiah,6,30
Old Testament,Jeremiah,7,34
Old Testament,Jeremiah,8,22
Old Testament,Jeremiah,9,26
Old Testament,Jeremiah,10,25
Old Testament,Jeremiah,11,23
Old Testament,Jeremiah,12,17
Old Testament,Jeremiah,13,27
Old Testament,Jeremiah,14,22
Old Testament,Jeremiah,15,21
Old Testament,Jeremiah,16,21
Old Testament,Jeremiah,17,27
Old Testament,Jeremiah,18,23
Old Testament,Jeremiah,19,15
Old Testament,Jeremiah,20,18
Old Testament,Jeremiah,21,14
Old Testament,Jeremiah,22,30
Old Testament,Jeremiah,23,40
Old Testament,Jeremiah,24,10
Old Testament,Jeremiah,25,38
Old Testament,Jeremiah,26,24
Old Testament,Jeremiah,27,22
Old Testament,Jeremiah,28,17
Old Testament,Jeremiah,29,32
Old Testament,Jeremiah,30,24
Old Testament,Jeremiah,31,40
Old Testament,Jeremiah,32,44
Old Testament,Jeremiah,33,26
Old Testament,Jeremiah,34,22
Old Testament,Jeremiah,35,19
Old Testament,Jeremiah,36,32
Old Testament,Jeremiah,37,21
Old Testament,Jeremiah,38,28
Old Testament,Jeremiah,39,18
Old Testament,Jeremiah,40,16
Old Testament,Jeremiah,41,18
Old Testament,Jeremiah,42,22
Old Testament,Jeremiah,43,13
Old Testament,Jeremiah,44,30
Old Testament,Jeremiah,45,5
Old Testament,Jeremiah,46,28
Old Testament,Jeremiah,47,7
Old Testament,Jeremiah,48,47
Old Testament,Jeremiah,49,39
Old Testament,Jeremiah,50,46
Old Testament,Jeremiah,51,64
Old Testament,Jeremiah,52,34
Old Testament,Lamentations,1,22
Old Testament,Lamentations,2,22
Old Testament,Lamentations,3,66
Old Testament,Lamentations,4,22
Old Testament,Lamentations,5,22
Old Testament,Ezekiel,1,28
Old Testament,Ezekiel,2,10
Old Testament,Ezekiel,3,27
Old Testament,Ezekiel,4,17
Old Testament,Ezekiel,5,17
Old Testament,Ezekiel,6,14
Old Testament,Ezekiel,7,27
Old Testament,Ezekiel,8,18
Old Testament,Ezekiel,9,11
Old Testament,Ezekiel,10,22
Old Testament,Ezekiel,11,25
Old Testament,Ezekiel,12,28
Old Testament,Ezekiel,13,23
Old Testament,Ezekiel,14,23
Old Testament,Ezekiel,15,8
Old Testament,Ezekiel,16,63
Old Testament,Ezekiel,17,24
Old Testament,Ezekiel,18,32
Old Testament,Ezekiel,19,14
Old Testament,Ezekiel,20,49
Old Testament,Ezekiel,21,32
Old Testament,Ezekiel,22,31
Old Testament,Ezekiel,23,49
Old Testament,Ezekiel,24,27
Old Testament,Ezekiel,25,17
Old Testament,Ezekiel,26,21
Old Testament,Ezekiel,27,36
Old Testament,Ezekiel,28,26
Old Testament,Ezekiel,29,21
Old Testament,Ezekiel,30,26
Old Testament,Ezekiel,31,18
Old Testament,Ezekiel,32,32
Old Testament,Ezekiel,33,33
Old Testament,Ezekiel,34,31
Old Testament,Ezekiel,35,15
Old Testament,Ezekiel,36,38
Old Testament,Ezekiel,37,28
Old Testament,Ezekiel,38,23
Old Testament,Ezekiel,39,29
Old Testament,Ezekiel,40,49
Old Testament,Ezekiel,41,26
Old Testament,Ezekiel,42,20
Old Testament,Ezekiel,43,27
Old Testament,Ezekiel,44,31
Old Testament,Ezekiel,45,25
Old Testament,Ezekiel,46,24
Old Testament,Ezekiel,47,23
Old Testament,Ezekiel,48,35
Old Testament,Daniel,1,21
Old Testament,Daniel,2,49
Old Testament,Daniel,3,30
Old Testament,Daniel,4,37
Old Testament,Daniel,5,31
Old Testament,Daniel,6,28
Old Testament,Daniel,7,28
Old Testament,Daniel,8,27
Old Testament,Daniel,9,27
Old Testament,Daniel,10,21
Old Testament,Daniel,11,45
Old Testament,Daniel,12,13
Old Testament,Hosea,1,11
Old Testament,Hosea,2,23
Old Testament,Hosea,3,5
Old Testament,Hosea,4,19
Old Testament,Hosea,5,15
Old Testament,Hosea,6,11
Old Testament,Hosea,7,16
Old Testament,Hosea,8,14
Old Testament,Hosea,9,17
Old Testament,Hosea,10,15
Old Testament,Hosea,11,12
Old Testament,Hosea,12,14
Old Testament,Hosea,13,16
Old Testament,Hosea,14,9
